"ID","Object Type","Object Name","Filter Name","Filter String","Sort String","Default","Description"
"1","2","Asset List","ProBook 430 G4","([Decommission Date ] is null or [Decommission Date] > date()) AND (([Item] Like ""*ProBook 430 G4*"") OR ([Description] Like ""*ProBook 430 G4*"") OR ([Comments] Like ""*ProBook 430 G4*"") OR ([Manufacturer] Like ""*ProBook 430 G4*"") OR ([Model] Like ""*ProBook 430 G4*""))","","False","<div>ProBook 430 G4</div>"
"2","2","Asset List","Infrastructure – Server","([Decommission Date ] is null or [Decommission Date] > date()) AND (([Item] Like ""*Infrastructure – Server*"") OR ([Category] Like ""*Infrastructure – Server*"") OR ([Comments] Like ""*Infrastructure – Server*"") OR ([Manufacturer] Like ""*Infrastructure – Server*"") OR ([Model] Like ""*Infrastructure – Server*""))","","False",""
"3","2","Asset List","Infrastructure – Switch","([Decommission Date ] is null or [Decommission Date] > date()) AND (([Item] Like ""*Infrastructure – Switch*"") OR ([Category] Like ""*Infrastructure – Switch*"") OR ([Comments] Like ""*Infrastructure – Switch*"") OR ([Manufacturer] Like ""*Infrastructure – Switch*"") OR ([Model] Like ""*Infrastructure – Switch*"")) OR ([Serial] Like ""*Infrastructure – Switch*"")","","False","<div>Infrastructure – Switch</div>"
"4","2","Asset List","100w Gen 5","([Decommission Date ] is null or [Decommission Date] > date()) AND (([Item] Like ""*100w Gen 5*"") OR ([Category] Like ""*100w Gen 5*"") OR ([Comments] Like ""*100w Gen 5*"") OR ([Manufacturer] Like ""*100w Gen 5*"") OR ([Model] Like ""*100w Gen 5*"")) OR ([Serial] Like ""*100w Gen 5*"")","[Assets].[Item] DESC","False","<div>100w Gen 5</div>"
